votes_per_item,top-k,precision,method
5,1,0.0,mcmc_conf
5,2,0.0890238095238,mcmc_conf
5,3,0.240862137862,mcmc_conf
5,4,0.25483028083,mcmc_conf
5,5,0.308617826618,mcmc_conf
5,6,0.30059634939,mcmc_conf
5,7,0.328767314979,mcmc_conf
5,8,0.301575122065,mcmc_conf
5,9,0.394261352793,mcmc_conf
5,10,0.467521722462,mcmc_conf
5,11,0.502014508974,mcmc_conf
5,12,0.523465978239,mcmc_conf
5,13,0.534647294668,mcmc_conf
5,14,0.556576061392,mcmc_conf
5,15,0.570691048731,mcmc_conf
5,16,0.609016795258,mcmc_conf
5,17,0.645975506398,mcmc_conf
5,18,0.723952717989,mcmc_conf
5,19,0.767764636649,mcmc_conf
5,20,0.794629781711,mcmc_conf
5,21,0.807270163935,mcmc_conf
5,22,0.807270163935,mcmc_conf
5,23,0.807270163935,mcmc_conf
5,24,0.807270163935,mcmc_conf
5,25,0.807270163935,mcmc_conf
5,26,0.807270163935,mcmc_conf
5,27,0.807270163935,mcmc_conf
5,28,0.807270163935,mcmc_conf
5,29,0.807270163935,mcmc_conf
5,30,0.807270163935,mcmc_conf
5,1,0.0,D&S
5,2,0.0,D&S
5,3,0.0,D&S
5,4,0.0,D&S
5,5,0.0,D&S
5,6,0.00373120300752,D&S
5,7,0.0586765241982,D&S
5,8,0.101463565233,D&S
5,9,0.0954874818411,D&S
5,10,0.0910510069641,D&S
5,11,0.105455010207,D&S
5,12,0.105204599748,D&S
5,13,0.105835429788,D&S
5,14,0.136464419638,D&S
5,15,0.136464419638,D&S
5,16,0.150766324979,D&S
5,17,0.157620343425,D&S
5,18,0.176900175187,D&S
5,19,0.223801304493,D&S
5,20,0.252033192894,D&S
5,21,0.290466986637,D&S
5,22,0.290466986637,D&S
5,23,0.290466986637,D&S
5,24,0.290466986637,D&S
5,25,0.290466986637,D&S
5,26,0.290466986637,D&S
5,27,0.290466986637,D&S
5,28,0.290466986637,D&S
5,29,0.290466986637,D&S
5,30,0.290466986637,D&S
16,1,0.0,mcmc_conf
16,2,0.01,mcmc_conf
16,3,0.375333333333,mcmc_conf
16,4,0.318452380952,mcmc_conf
16,5,0.386531746032,mcmc_conf
16,6,0.434552669553,mcmc_conf
16,7,0.433861582862,mcmc_conf
16,8,0.40238036963,mcmc_conf
16,9,0.491356502974,mcmc_conf
16,10,0.610604539166,mcmc_conf
16,11,0.637225946665,mcmc_conf
16,12,0.647134699591,mcmc_conf
16,13,0.632007530158,mcmc_conf
16,14,0.602616016973,mcmc_conf
16,15,0.580367109655,mcmc_conf
16,16,0.602540951486,mcmc_conf
16,17,0.62553136261,mcmc_conf
16,18,0.71058305339,mcmc_conf
16,19,0.746482703298,mcmc_conf
16,20,0.767001781476,mcmc_conf
16,21,0.793218247834,mcmc_conf
16,22,0.793218247834,mcmc_conf
16,23,0.793218247834,mcmc_conf
16,24,0.793218247834,mcmc_conf
16,25,0.793218247834,mcmc_conf
16,26,0.793218247834,mcmc_conf
16,27,0.793218247834,mcmc_conf
16,28,0.793218247834,mcmc_conf
16,29,0.793218247834,mcmc_conf
16,30,0.793218247834,mcmc_conf
16,1,0.0,D&S
16,2,0.0,D&S
16,3,0.0,D&S
16,4,0.0,D&S
16,5,0.0,D&S
16,6,0.0,D&S
16,7,0.1,D&S
16,8,0.0909090909091,D&S
16,9,0.0769230769231,D&S
16,10,0.0714285714286,D&S
16,11,0.0625,D&S
16,12,0.117647058824,D&S
16,13,0.166666666667,D&S
16,14,0.2,D&S
16,15,0.190476190476,D&S
16,16,0.181818181818,D&S
16,17,0.166666666667,D&S
16,18,0.2,D&S
16,19,0.230769230769,D&S
16,20,0.269230769231,D&S
16,21,0.307692307692,D&S
16,22,0.307692307692,D&S
16,23,0.307692307692,D&S
16,24,0.307692307692,D&S
16,25,0.307692307692,D&S
16,26,0.307692307692,D&S
16,27,0.307692307692,D&S
16,28,0.307692307692,D&S
16,29,0.307692307692,D&S
16,30,0.307692307692,D&S
3,1,0.0153571428571,mcmc_conf
3,2,0.0541751522733,mcmc_conf
3,3,0.122462335665,mcmc_conf
3,4,0.168255882239,mcmc_conf
3,5,0.18877680104,mcmc_conf
3,6,0.211013839977,mcmc_conf
3,7,0.277431123988,mcmc_conf
3,8,0.279392846476,mcmc_conf
3,9,0.349736402762,mcmc_conf
3,10,0.411837362433,mcmc_conf
3,11,0.442947082181,mcmc_conf
3,12,0.456455720314,mcmc_conf
3,13,0.463872153554,mcmc_conf
3,14,0.483086536183,mcmc_conf
3,15,0.488738891709,mcmc_conf
3,16,0.511160240167,mcmc_conf
3,17,0.54242652643,mcmc_conf
3,18,0.599386785299,mcmc_conf
3,19,0.619918358928,mcmc_conf
3,20,0.633924344116,mcmc_conf
3,21,0.640460393726,mcmc_conf
3,22,0.640460393726,mcmc_conf
3,23,0.640460393726,mcmc_conf
3,24,0.640460393726,mcmc_conf
3,25,0.640460393726,mcmc_conf
3,26,0.640460393726,mcmc_conf
3,27,0.640460393726,mcmc_conf
3,28,0.640460393726,mcmc_conf
3,29,0.640460393726,mcmc_conf
3,30,0.640460393726,mcmc_conf
3,1,0.0,D&S
3,2,0.0,D&S
3,3,0.0,D&S
3,4,0.0385687332664,D&S
3,5,0.0295829783952,D&S
3,6,0.0310804399979,D&S
3,7,0.0526639640254,D&S
3,8,0.0614987023864,D&S
3,9,0.0614987023864,D&S
3,10,0.0614987023864,D&S
3,11,0.0614987023864,D&S
3,12,0.0614987023864,D&S
3,13,0.067225410461,D&S
3,14,0.0889512617473,D&S
3,15,0.0937255888695,D&S
3,16,0.104784794855,D&S
3,17,0.106784794855,D&S
3,18,0.119778925536,D&S
3,19,0.145717721802,D&S
3,20,0.155564882523,D&S
3,21,0.185360073826,D&S
3,22,0.185360073826,D&S
3,23,0.185360073826,D&S
3,24,0.185360073826,D&S
3,25,0.185360073826,D&S
3,26,0.185360073826,D&S
3,27,0.185360073826,D&S
3,28,0.185360073826,D&S
3,29,0.185360073826,D&S
3,30,0.185360073826,D&S
5,1,0.02,mcmc_conf
5,2,0.0661666666667,mcmc_conf
5,3,0.201081252081,mcmc_conf
5,4,0.233022477522,mcmc_conf
5,5,0.290666446843,mcmc_conf
5,6,0.278499562987,mcmc_conf
5,7,0.326640458776,mcmc_conf
5,8,0.31456419342,mcmc_conf
5,9,0.405818422299,mcmc_conf
5,10,0.484650347873,mcmc_conf
5,11,0.520760179669,mcmc_conf
5,12,0.550827038765,mcmc_conf
5,13,0.561509927696,mcmc_conf
5,14,0.580145993463,mcmc_conf
5,15,0.5919876214,mcmc_conf
5,16,0.629057758392,mcmc_conf
5,17,0.667393951436,mcmc_conf
5,18,0.74911844496,mcmc_conf
5,19,0.783382718751,mcmc_conf
5,20,0.799414453621,mcmc_conf
5,21,0.815327224164,mcmc_conf
5,22,0.815327224164,mcmc_conf
5,23,0.815327224164,mcmc_conf
5,24,0.815327224164,mcmc_conf
5,25,0.815327224164,mcmc_conf
5,26,0.815327224164,mcmc_conf
5,27,0.815327224164,mcmc_conf
5,28,0.815327224164,mcmc_conf
5,29,0.815327224164,mcmc_conf
5,30,0.815327224164,mcmc_conf
5,1,0.0,D&S
5,2,0.0,D&S
5,3,0.0,D&S
5,4,0.0,D&S
5,5,0.0,D&S
5,6,0.00287179487179,D&S
5,7,0.0578042049969,D&S
5,8,0.101178577984,D&S
5,9,0.0930927139984,D&S
5,10,0.0895192923019,D&S
5,11,0.100547882552,D&S
5,12,0.100461302466,D&S
5,13,0.100461302466,D&S
5,14,0.126408808583,D&S
5,15,0.126408808583,D&S
5,16,0.136813946923,D&S
5,17,0.141128834933,D&S
5,18,0.154727780915,D&S
5,19,0.209217993601,D&S
5,20,0.241857406362,D&S
5,21,0.282253736119,D&S
5,22,0.282253736119,D&S
5,23,0.282253736119,D&S
5,24,0.282253736119,D&S
5,25,0.282253736119,D&S
5,26,0.282253736119,D&S
5,27,0.282253736119,D&S
5,28,0.282253736119,D&S
5,29,0.282253736119,D&S
5,30,0.282253736119,D&S
5,1,0.04,mcmc_conf
5,2,0.04,mcmc_conf
5,3,0.153285714286,mcmc_conf
5,4,0.212674048174,mcmc_conf
5,5,0.276250257259,mcmc_conf
5,6,0.300969696303,mcmc_conf
5,7,0.338346369534,mcmc_conf
5,8,0.31511879484,mcmc_conf
5,9,0.394647008789,mcmc_conf
5,10,0.461602973048,mcmc_conf
5,11,0.49437350215,mcmc_conf
5,12,0.519562704313,mcmc_conf
5,13,0.525872636954,mcmc_conf
5,14,0.544489414218,mcmc_conf
5,15,0.556136594413,mcmc_conf
5,16,0.591925517037,mcmc_conf
5,17,0.626855749612,mcmc_conf
5,18,0.696810044293,mcmc_conf
5,19,0.728580768047,mcmc_conf
5,20,0.743856283727,mcmc_conf
5,21,0.761908887706,mcmc_conf
5,22,0.761908887706,mcmc_conf
5,23,0.761908887706,mcmc_conf
5,24,0.761908887706,mcmc_conf
5,25,0.761908887706,mcmc_conf
5,26,0.761908887706,mcmc_conf
5,27,0.761908887706,mcmc_conf
5,28,0.761908887706,mcmc_conf
5,29,0.761908887706,mcmc_conf
5,30,0.761908887706,mcmc_conf
5,1,0.0,D&S
5,2,0.0,D&S
5,3,0.0,D&S
5,4,0.0,D&S
5,5,0.0,D&S
5,6,0.0028431372549,D&S
5,7,0.0578344756379,D&S
5,8,0.0986553014521,D&S
5,9,0.0904751765143,D&S
5,10,0.0878959142307,D&S
5,11,0.102033754651,D&S
5,12,0.101749546106,D&S
5,13,0.102619111323,D&S
5,14,0.129059822786,D&S
5,15,0.129059822786,D&S
5,16,0.1360299903,D&S
5,17,0.142093965455,D&S
