votes_per_item,top-k,precision,method
3,1,0.125,mcmc_conf
3,2,0.116666666667,mcmc_conf
3,3,0.223869047619,mcmc_conf
3,4,0.24240222338,mcmc_conf
3,5,0.267903313474,mcmc_conf
3,6,0.266345742358,mcmc_conf
3,7,0.289887543153,mcmc_conf
3,8,0.326727316577,mcmc_conf
3,9,0.36783309947,mcmc_conf
3,10,0.425967339297,mcmc_conf
3,11,0.452729901995,mcmc_conf
3,12,0.548725177471,mcmc_conf
3,13,0.607775075428,mcmc_conf
3,14,0.626791680093,mcmc_conf
3,15,0.626791680093,mcmc_conf
3,16,0.626791680093,mcmc_conf
3,17,0.626791680093,mcmc_conf
3,18,0.626791680093,mcmc_conf
3,19,0.626791680093,mcmc_conf
3,1,0.0,D&S
3,2,0.0166666666667,D&S
3,3,0.0458333333333,D&S
3,4,0.124642857143,D&S
3,5,0.124404761905,D&S
3,6,0.146428571429,D&S
3,7,0.193154761905,D&S
3,8,0.220631313131,D&S
3,9,0.316416083916,D&S
3,10,0.448521478521,D&S
3,11,0.496678737929,D&S
3,12,0.616765648567,D&S
3,13,0.698891806723,D&S
3,14,0.716494453044,D&S
3,15,0.71040376677,D&S
3,16,0.690324700454,D&S
3,17,0.689384727974,D&S
3,18,0.688806198317,D&S
3,19,0.685297426387,D&S
5,1,0.06,mcmc_conf
5,2,0.0561904761905,mcmc_conf
5,3,0.144738095238,mcmc_conf
5,4,0.230007936508,mcmc_conf
5,5,0.280770729271,mcmc_conf
5,6,0.342463314463,mcmc_conf
5,7,0.414945069464,mcmc_conf
5,8,0.42157466684,mcmc_conf
5,9,0.40454628179,mcmc_conf
5,10,0.43512592218,mcmc_conf
5,11,0.463864487022,mcmc_conf
5,12,0.553491677478,mcmc_conf
5,13,0.620302721459,mcmc_conf
5,14,0.636960860644,mcmc_conf
5,15,0.636960860644,mcmc_conf
5,16,0.636960860644,mcmc_conf
5,17,0.636960860644,mcmc_conf
5,18,0.636960860644,mcmc_conf
5,19,0.636960860644,mcmc_conf
5,1,0.0,D&S
5,2,0.0966666666667,D&S
5,3,0.106666666667,D&S
5,4,0.172,D&S
5,5,0.183714285714,D&S
5,6,0.20869047619,D&S
5,7,0.23,D&S
5,8,0.310651515152,D&S
5,9,0.395137529138,D&S
5,10,0.491982350982,D&S
5,11,0.517545787546,D&S
5,12,0.671311355311,D&S
5,13,0.775210245637,D&S
5,14,0.778114845938,D&S
5,15,0.755669074647,D&S
5,16,0.725377364981,D&S
5,17,0.708646542828,D&S
5,18,0.69242463333,D&S
5,19,0.688590046864,D&S
7,1,0.0,mcmc_conf
7,2,0.03,mcmc_conf
7,3,0.167523809524,mcmc_conf
7,4,0.209904761905,mcmc_conf
7,5,0.248987012987,mcmc_conf
7,6,0.342550893551,mcmc_conf
7,7,0.451287878788,mcmc_conf
7,8,0.500283993784,mcmc_conf
7,9,0.485371923828,mcmc_conf
7,10,0.52241491515,mcmc_conf
7,11,0.563928626256,mcmc_conf
